# timestamp [ns], vertex-id, mission-id, p_G_Ix [m], p_G_Iy [m], p_G_Iz [m], q_G_Iw, q_G_Ix, q_G_Iy, q_G_Iz, p_M_Ix [m], p_M_Iy [m], p_M_Iz [m], q_M_Iw, q_M_Ix, q_M_Iy, q_M_Iz, v_Mx [m/s], v_My [m/s], v_Mz [m/s], bgx [rad/s], bgy [rad/s], bgz [rad/s], bax [m/s^2], bay [m/s^2], baz [m/s^2]
1605267855977259761, b969cdbe74955f163d69040000000000, 760ba2054f955f160f00000000000000, 26.6012131287012, -0.625751966021975, 0.389844968618291, 0.600927819132529, -0.0104404763454575, 0.00269077085731157, 0.799230575240022, 26.6012131287012, -0.625751966021975, 0.389844968618291, 0.600927819132529, -0.0104404763454575, 0.00269077085731157, 0.799230575240022, 0.264969197450703, 0.530068685904691, 0.272978895937052, -0.00306010180363745, -0.00428126457618165, 0.00120573261485626, 0.0130014589380098, -0.278033319641401, 0.101713404193277
1605267857177263862, 7fddcaf474955f16a269040000000000, 760ba2054f955f160f00000000000000, 27.2301311393111, -0.170771184026823, 0.403402311283437, 0.458680279613004, -0.0204475742734206, -0.00828196086696042, 0.888327477299148, 27.2301311393111, -0.170771184026823, 0.403402311283437, 0.458680279613004, -0.0204475742734206, -0.00828196086696042, 0.888327477299148, 0.527953475149805, 0.267640514806176, 0.0602114391435985, -0.00305977096102967, -0.00427985846193986, 0.00120471157444951, 0.013476731167653, -0.27716774376484, 0.103593989930452
1605267858377251750, 3ad8fa3b75955f16166a040000000000, 760ba2054f955f160f00000000000000, 28.0293416923157, -0.0427567894132772, 0.409860594932361, 0.522822584331579, -0.020162293933563, -0.0207067957953424, 0.851951439827456, 28.0293416923157, -0.0427567894132772, 0.409860594932361, 0.522822584331579, -0.020162293933563, -0.0207067957953424, 0.851951439827456, 0.677366432972536, 0.0334161464271261, -0.00124529127646555, -0.00305911260379603, -0.0042770922154982, 0.00120351489016224, 0.0145806662967748, -0.276130881886108, 0.104494777835558
1605267859777243739, 19e4589175955f16a36a040000000000, 760ba2054f955f160f00000000000000, 28.924453147543, 0.00512814403458504, 0.437909923782163, 0.656796908150828, -0.0403996096445218, -0.0134729660060051, 0.752863979860296, 28.924453147543, 0.00512814403458504, 0.437909923782163, 0.656796908150828, -0.0403996096445218, -0.0134729660060051, 0.752863979860296, 0.700217613103883, 0.0449102350750527, -0.157817316665843, -0.00305823826684356, -0.00427615749153486, 0.00120230027066813, 0.0163911351072893, -0.274634176909664, 0.105484600921059
1605267860977211839, 0ed521d975955f161b6b040000000000, 760ba2054f955f160f00000000000000, 29.7731396752689, -0.17891913055556, 0.395221079283876, 0.719796704601617, -0.0181100945205752, -0.0191063915506278, 0.693685573097079, 29.7731396752689, -0.17891913055556, 0.395221079283876, 0.719796704601617, -0.0181100945205752, -0.0191063915506278, 0.693685573097079, 0.801138537595452, -0.181002497879217, -0.00589488865773566, -0.00305714450439083, -0.00427623277066281, 0.0012016137810268, 0.0179193068828724, -0.273261767391949, 0.106403482903225
1605267861977183467, 6721351476955f167f6b040000000000, 760ba2054f955f160f00000000000000, 30.336774879241, -0.333314844180927, 0.390206896065505, 0.82561788990232, 0.0010265875288763, -0.00130182562197513, 0.564227215970071, 30.336774879241, -0.333314844180927, 0.390206896065505, 0.82561788990232, 0.0010265875288763, -0.00130182562197513, 0.564227215970071, 0.35402554413888, -0.166891917399229, -0.0532884535533457, -0.00305627130637159, -0.00427693858906483, 0.00120138534263545, 0.0192491714061025, -0.271982269909487, 0.107381214821821
1605267864277158386, b3f1069d76955f16666c040000000000, 760ba2054f955f160f00000000000000, 30.1333414419548, 0.0808925994699567, 0.425267153931241, 0.713819843628915, -0.0191463954043219, 0.0179497605790914, 0.699837447183106, 30.1333414419548, 0.0808925994699567, 0.425267153931241, 0.713819843628915, -0.0191463954043219, 0.0179497605790914, 0.699837447183106, 0.39726814272934, 0.207380655538956, -0.1583324381027, -0.00305415821124423, -0.00428020042996199, 0.00120101793477161, 0.021984334668064, -0.269144436523968, 0.109142798200538
1605267864477159625, cb6155aa76955f167e6c040000000000, 760ba2054f955f160f00000000000000, 30.2203371878074, 0.128031915147516, 0.415503403297275, 0.706045770779774, -0.012796041134894, 0.0263897056364477, 0.707558629607251, 30.2203371878074, 0.128031915147516, 0.415503403297275, 0.706045770779774, -0.012796041134894, 0.0263897056364477, 0.707558629607251, 0.242997700880967, 0.129764402605655, 0.0768610139051605, -0.00305394185741223, -0.00428034931166599, 0.0012009281784917, 0.0222269896683869, -0.26888029622799, 0.109153358379245
1605267866377131587, f67a4b1b77955f165ece040000000000, 760ba2054f955f160f00000000000000, 31.196025234281, -0.22087130967307, 0.346319444306607, 0.742448796133669, -0.00125336373984025, 0.0138241929039281, 0.669758990898634, 31.196025234281, -0.22087130967307, 0.346319444306607, 0.742448796133669, -0.00125336373984025, 0.0138241929039281, 0.669758990898634, 0.817263988450092, -0.376796117288415, -0.0818481929407764, -0.0030528881077719, -0.00428273315382247, 0.0012002803862823, 0.0246324106203076, -0.266282223766313, 0.108408836980284
1605267867177116519, c7a78d4977955f16abce040000000000, 760ba2054f955f160f00000000000000, 31.6978417512842, -0.476599076127249, 0.347390780572463, 0.749474723188616, -0.0217829542406608, -0.00415468343421147, 0.6616614548328, 31.6978417512842, -0.476599076127249, 0.347390780572463, 0.749474723188616, -0.0217829542406608, -0.00415468343421147, 0.6616614548328, 0.696670550402177, -0.231594368029367, -0.148186608939164, -0.00305222361586259, -0.00428344008098067, 0.00120012697550424, 0.0254511424047547, -0.265177616180369, 0.108803152705737
